word,fr,it,es,de,pl,cs,category
train station,gare,stazione ferroviaria,Estacion de tren,Bahnhof,Dworzec kolejowy,vlakove nadrazi,places_in_town
supermarket,supermarche,supermercato,supermercado,Supermarkt,supermarket,supermarket,places_in_town
museum,musee,museo,museo,Museum,muzeum,muzeum,places_in_town
post office,bureau de poste,ufficio postale,oficina de correos,Postamt,poczta,posta,places_in_town
school,ecole,scuola,escuela,Schule,szkola,skola,places_in_town
theatre,theatre,teatro,teatro,Theater,teatr,divadlo,places_in_town
park,parc,parco,parque,Park,park,park,places_in_town
restaurant,restaurant,ristorante,restaurante,Restaurant,restauracja,restaurace,places_in_town
bank,banque,banca,banco,Bank,bank,banka,places_in_town
hospital,hopital,Ospedale,hospital,Krankenhaus,szpital,NEMOCNICE,places_in_town
Post offices,Bureaux de poste,Uffici postali,Oficinas de correos,Postamter,Urzedy pocztowe,Postovni urady,places_in_town
bus station,gare routiere,stazione degli autobus,estacion de autobuses,Busbahnhof,Dworzec autobusowy,autobusove nadrazi,places_in_town
library,bibliotheque,biblioteca,biblioteca,Bibliothek,biblioteka,knihovna,places_in_town
employee,employe,dipendente,empleado,Mitarbeiter,pracownik,zamestnanec,jobs
employer,employeur,datore di lavoro,empleador,Arbeitgeber,pracodawca,zamestnavatel,jobs
shifts,decalages,turni,turnos,Schichten,zmiany,smeny,jobs
journaling,journalisation,tenere un diario,diario,Tagebuch fuhren,dziennikarstwo,zurnalovani,hobbies
sketching,esquisse,schizzo,bosquejando,Skizzierung,szkicowanie,skicovani,hobbies
to doodle,gribouiller,scarabocchiare,garabatear,kritzeln,rysowac,cmarat,hobbies
karting,karting,karting,karting,Kartfahren,karting,motokary,hobbies
backpacking,randonnee,zaino in spalla,Mochilero,Rucksackreisen,plecakowanie,turismus,hobbies
hunting,chasse,a caccia,caza,Jagd,polowanie,lov,hobbies
traveling,voyages,viaggiare,de viaje,Reisen,podrozny,cestovani,hobbies
clubbing,sortir en boite,andare in discoteca,discotecas,Clubbing,klubowanie,klubovani,hobbies
collecting,collectionner,collezionare,coleccionando,Sammeln,zbieranie,sbirani,hobbies
skydiving,parachutisme,paracadutismo,paracaidismo,Fallschirmspringen,skydiving,skydiving,hobbies
birdwatching,observation des oiseaux,osservazione degli uccelli,ornitologia,Vogelbeobachtung,obserwowanie ptakow,pozorovani ptactva,hobbies
gambling,jeu d&#39;argent,gioco d&#39;azzardo,juego,Glucksspiel,hazard,hazardni hry,hobbies
leisure,loisirs,tempo libero,ocio,Freizeit,wypoczynek,volny cas,hobbies
meditation,meditation,meditazione,meditacion,Meditation,medytacja,rozjimani,hobbies
window shopping,leche-vitrine,vetrine,mirando escaparates,Schaufensterbummel,ogladanie wystaw sklepowych,vylohy,hobbies
knitting,tricot,maglieria,tejido de punto,Stricken,dzianie,pleteni,hobbies
origami,origami,origami,origami,Origami,origami,origami,hobbies
scuba diving,Plongee sous-marine,immersioni in subacquea,submarinismo,Geratetauchen,nurkowanie,potapeni,hobbies
windsurfing,planche a voile,windsurf,tabla a vela,Windsurfen,windsurfing,surfovani,hobbies
blogging,blogging,bloggare,bloguear,Bloggen,blogowanie,blogovani,hobbies
pastime,divertissement,passatempo,pasatiempo,Zeitvertreib,rozrywka,zabava,hobbies
pottery,poterie,ceramica,ceramica,Keramik,garncarstwo,hrncirstvi,hobbies
mountain biking,VTT,mountain bike,Ciclismo de montana,Mountainbiken,kolarstwo gorskie,horska kola,hobbies
cheerleading,cheerleading,fare il tifo,Animadoras,Cheerleading,cheerleading,cheerleading,hobbies
beer,biere,birra,cerveza,Bier,piwo,pivo,drinks
soda,soude,soda,soda,Soda,soda,soda,drinks
whiskey,whisky,whisky,whisky,Whiskey,whisky,whisky,drinks
smoothie,smoothie,frullato,zalamero,Smoothie,pochlebca,smoothie,drinks
cocktail,cocktail,cocktail,coctel,Cocktail,koktajl,koktejl,drinks
vodka,vodka,vodka,vodka,Wodka,wodka,vodka,drinks
tequila,tequila,tequila,tequila,Tequila,tequila,tequila,drinks
mineral water,eau minerale,acqua minerale,agua mineral,Mineralwasser,woda mineralna,mineralni voda,drinks
soft drink,boisson gazeuse,bibita analcolica,Bebida sin alcohol,Erfrischungsgetrank,napoj bezalkoholowy,nealkoholicky napoj,drinks
Tonic,Tonique,Tonico,Tonico,Tonic,Tonik,Tonikum,drinks
Coca-Cola,Coca-Cola,Coca-Cola,Coca-cola,Coca Cola,Coca-Cola,Coca-Cola,drinks
