word,fr,it,es,de,pl,cs,category
train station,gare,stazione ferroviaria,Estación de tren,Bahnhof,Dworzec kolejowy,vlakové nádraží,places_in_town
supermarket,supermarché,supermercato,supermercado,Supermarkt,supermarket,supermarket,places_in_town
museum,musée,museo,museo,Museum,muzeum,muzeum,places_in_town
post office,bureau de poste,ufficio postale,oficina de correos,Postamt,poczta,pošta,places_in_town
school,école,scuola,escuela,Schule,szkoła,škola,places_in_town
theatre,théâtre,teatro,teatro,Theater,teatr,divadlo,places_in_town
park,parc,parco,parque,Park,park,park,places_in_town
restaurant,restaurant,ristorante,restaurante,Restaurant,restauracja,restaurace,places_in_town
bank,banque,banca,banco,Bank,bank,banka,places_in_town
hospital,hôpital,Ospedale,hospital,Krankenhaus,szpital,NEMOCNICE,places_in_town
Post offices,Bureaux de poste,Uffici postali,Oficinas de correos,Postämter,Urzędy pocztowe,Poštovní úřady,places_in_town
bus station,gare routière,stazione degli autobus,estación de autobuses,Busbahnhof,Dworzec autobusowy,autobusové nádraží,places_in_town
library,bibliothèque,biblioteca,biblioteca,Bibliothek,biblioteka,knihovna,places_in_town
employee,employé,dipendente,empleado,Mitarbeiter,pracownik,zaměstnanec,jobs
employer,employeur,datore di lavoro,empleador,Arbeitgeber,pracodawca,zaměstnavatel,jobs
shifts,décalages,turni,turnos,Schichten,zmiany,směny,jobs
journaling,journalisation,tenere un diario,diario,Tagebuch führen,dziennikarstwo,žurnálování,hobbies
sketching,esquisse,schizzo,bosquejando,Skizzierung,szkicowanie,skicování,hobbies
to doodle,gribouiller,scarabocchiare,garabatear,kritzeln,rysować,čmárat,hobbies
karting,karting,karting,karting,Kartfahren,karting,motokáry,hobbies
backpacking,randonnée,zaino in spalla,Mochilero,Rucksackreisen,plecakowanie,turismus,hobbies
hunting,chasse,a caccia,caza,Jagd,polowanie,lov,hobbies
traveling,voyages,viaggiare,de viaje,Reisen,podróżny,cestování,hobbies
clubbing,sortir en boîte,andare in discoteca,discotecas,Clubbing,klubowanie,klubování,hobbies
collecting,collectionner,collezionare,coleccionando,Sammeln,zbieranie,sbírání,hobbies
skydiving,parachutisme,paracadutismo,paracaidismo,Fallschirmspringen,skydiving,skydiving,hobbies
birdwatching,observation des oiseaux,osservazione degli uccelli,ornitología,Vogelbeobachtung,obserwowanie ptaków,pozorování ptactva,hobbies
gambling,jeu d&#39;argent,gioco d&#39;azzardo,juego,Glücksspiel,hazard,hazardní hry,hobbies
leisure,loisirs,tempo libero,ocio,Freizeit,wypoczynek,volný čas,hobbies
meditation,méditation,meditazione,meditación,Meditation,medytacja,rozjímání,hobbies
window shopping,lèche-vitrine,vetrine,mirando escaparates,Schaufensterbummel,oglądanie wystaw sklepowych,výlohy,hobbies
knitting,tricot,maglieria,tejido de punto,Stricken,dzianie,pletení,hobbies
origami,origami,origami,origami,Origami,origami,origami,hobbies
scuba diving,Plongée sous-marine,immersioni in subacquea,submarinismo,Gerätetauchen,nurkowanie,potápění,hobbies
windsurfing,planche à voile,windsurf,tabla a vela,Windsurfen,windsurfing,surfování,hobbies
blogging,blogging,bloggare,bloguear,Bloggen,blogowanie,blogování,hobbies
pastime,divertissement,passatempo,pasatiempo,Zeitvertreib,rozrywka,zábava,hobbies
pottery,poterie,ceramica,cerámica,Keramik,garncarstwo,hrnčířství,hobbies
mountain biking,VTT,mountain bike,Ciclismo de montaña,Mountainbiken,kolarstwo górskie,horská kola,hobbies
cheerleading,cheerleading,fare il tifo,Animadoras,Cheerleading,cheerleading,cheerleading,hobbies
beer,bière,birra,cerveza,Bier,piwo,pivo,drinks
soda,soude,soda,soda,Soda,soda,soda,drinks
whiskey,whisky,whisky,whisky,Whiskey,whisky,whisky,drinks
smoothie,smoothie,frullato,zalamero,Smoothie,pochlebca,smoothie,drinks
cocktail,cocktail,cocktail,cóctel,Cocktail,koktajl,koktejl,drinks
vodka,vodka,vodka,vodka,Wodka,wódka,vodka,drinks
tequila,tequila,tequila,tequila,Tequila,tequila,tequila,drinks
mineral water,eau minérale,acqua minerale,agua mineral,Mineralwasser,woda mineralna,minerální voda,drinks
soft drink,boisson gazeuse,bibita analcolica,Bebida sin alcohol,Erfrischungsgetränk,napój bezalkoholowy,nealkoholický nápoj,drinks
Tonic,Tonique,Tonico,Tónico,Tonic,Tonik,Tonikum,drinks
Coca-Cola,Coca-Cola,Coca-Cola,Coca-cola,Coca Cola,Coca-Cola,Coca-Cola,drinks
to drink,boire,bere,beber,trinken,pić,pít,drinks
latte,latté,latte macchiato,café con leche,Latte,latte,latte,drinks
still,toujours,Ancora,aún,Trotzdem,Nadal,stále,drinks
nonalcoholic,sans alcool,analcolico,no alcohólico,Alkoholfrei,bezalkoholowy,nealkoholický,drinks
cocoa,cacao,cacao,cacao,Kakao,kakao,kakao,drinks
beverage,boisson,bevanda,bebida,Getränk,napój,nápoj,drinks
alcohol,alcool,alcol,alcohol,Alkohol,alkohol,alkohol,drinks
wine,vin,vino,vino,Wein,wino,víno,drinks
sparkling,pétillant,frizzante,espumoso,funkelnd,musujący,šumivé,drinks
drink,boire,bere,beber,trinken,drink,pití,drinks
brandy,Brandy,brandy,brandy,Brandy,brandy,brandy,drinks
Champagne,Champagne,Champagne,Champán,Sekt,Szampan,Šampaňské,drinks
lemonade,limonade,limonata,limonada,Limonade,lemoniada,limonáda,drinks
alcoholic,alcoolique,alcolizzato,alcohólico,alkoholisch,alkoholowy,alkoholik,drinks
espresso,espresso,espresso,café exprés,Espresso,espresso,espresso,drinks
milkshake,milk-shake,frappè,batido,Milchshake,koktajl mleczny,mléčný koktejl,drinks
energy drink,boisson énergisante,bevanda energetica,bebida energética,Energiegetränk,napój energetyczny,energetický nápoj,drinks
house,maison,casa,casa,Haus,dom,dům,partsOfHouse
roof,toit,tetto,techo,Dach,dach,střecha,partsOfHouse
chimney,cheminée,camino,tubo de lámpara,Schornstein,komin,komín,partsOfHouse
window,fenêtre,finestra,ventana,Fenster,okno,okno,partsOfHouse
door,porte,porta,puerta,Tür,drzwi,dveře,partsOfHouse
balcony,balcon,balcone,balcón,Balkon,balkon,balkón,partsOfHouse
garage,garage,garage,cochera,Garage,garaż,garáž,partsOfHouse
driveway,allée,vialetto,entrada de coches,Auffahrt,podjazd,příjezdová cesta,partsOfHouse
yard,cour,cortile,patio,Hof,dziedziniec,yard,partsOfHouse
letterbox,boîte aux lettres,cassetta delle lettere,buzón,Briefkasten,skrzynka na listy,poštovní schránka,partsOfHouse
path,chemin,sentiero,camino,Weg,ścieżka,cesta,partsOfHouse
attic,grenier,attico,ático,Dachboden,strych,podkroví,partsOfHouse
bedroom,chambre à coucher,camera da letto,dormitorio,Schlafzimmer,sypialnia,ložnice,partsOfHouse
bathroom,salle de bain,bagno,baño,Badezimmer,łazienka,koupelna,partsOfHouse
nursery (room),chambre d&#39;enfant (chambre),stanza dei bambini (stanza),cuarto de niños,Kinderzimmer,pokój dziecięcy (pokój),školka (pokoj),partsOfHouse
home office,bureau à domicile,ufficio a casa,oficina en casa,Innenministerium,ministerstwo spraw wewnętrznych,domácí kancelář,partsOfHouse
living room,salon,soggiorno,sala de estar,Wohnzimmer,salon,obývací pokoj,partsOfHouse
dining room,salle à manger,sala da pranzo,comedor,Esszimmer,jadalnia,jídelna,partsOfHouse
kitchen,cuisine,cucina,cocina,Küche,kuchnia,kuchyně,partsOfHouse
laundry room,buanderie,lavanderia,cuarto de lavado,Waschküche,pralnia,prádelna,partsOfHouse
amateur,amateur,dilettante,aficionado,Amateur,amator,amatér,partsOfHouse
arena,arène,arena,arena,Arena,arena,aréna,partsOfHouse
athletic,athlétique,atletico,atlético,sportlich,atletyczny,atletický,partsOfHouse
backboard,panneau,tabellone,respaldo,Rückwand,tablica,zadní deska,partsOfHouse
backhand,revers,rovescio,revés,Rückhand,bekhend,backhand,partsOfHouse
batter,battre,pastella,bateador,Teig,rzadkie ciasto,těsto,partsOfHouse
baseball,base-ball,baseball,béisbol,Baseball,baseball,baseball,partsOfHouse
basketball,basket-ball,pallacanestro,baloncesto,Basketball,koszykówka,basketball,partsOfHouse
bench,banc,panca,banco,Bank,ławka,lavice,partsOfHouse
catcher,receveur,ricevitore,receptor,Fänger,łapacz,lapač,partsOfHouse
champion,champion,campione,campeón,Champion,mistrz,mistr,partsOfHouse
championship,championnat,campionato,campeonato,Meisterschaft,mistrzostwo,mistrovství,partsOfHouse
coach,entraîneur,allenatore,entrenador,Trainer,trener,trenér,partsOfHouse
competitive,compétitif,competitivo,competitivo,wettbewerbsfähig,konkurencyjny,konkurenční,partsOfHouse
defense,défense,difesa,defensa,Verteidigung,obrona,obrana,partsOfHouse
doubles,double,doppi,dobles,Doppel,debel,čtyřhra,partsOfHouse
dribble,dribble,dribblare,regatear,dribbeln,dryblować,driblovat,partsOfHouse
dugout,pirogue,panchina,refugio subterráneo,Einbaum,ziemianka,zákop,partsOfHouse
fan,ventilateur,fan,admirador,Lüfter,wentylator,větrák,partsOfHouse
field goal,but sur le terrain,obiettivo di campo,gol de campo,Feldtor,gol polowy,field goal,partsOfHouse
Trumpet,Trompette,Tromba,Trompeta,Trompete,Trąbka,Trubka,instruments
Tuba,Tuba,Tuba,Tuba,Tuba,Tuba,Tuba,instruments
Trombone,Trombone,Trombone,Trombón,Posaune,Puzon,Pozoun,instruments
French horn,Cor français,Corno francese,Trompa francesa,Waldhorn,Róg francuski,lesní roh,instruments
Bugle,Clairon,Tromba,Bugle,Horn,Dąbrówka,Polnice,instruments
Cornet,Cornet,Cornetta,Cucurucho,Kornett,Kornet,Kornet,instruments
Euphonium,Euphonium,Eufonio,Eufonio,Euphonium,Eufonium,Euphonium,instruments
Flugelhorn,Bugle,Flicorno,Fliscorno,Flügelhorn,Flugelhorn,křídlovka,instruments
Mellophone,Mellophone,Mellofono,Melófono,Mellophon,Melofon,Mellofon,instruments
Sousaphone,Soubassophone,Sousafono,Sousafón,Sousaphon,Suzafon,Sousaphone,instruments
Violin,Violon,Violino,Violín,Violine,Skrzypce,Housle,instruments
Guitar,Guitare,Chitarra,Guitarra,Gitarre,Gitara,Kytara,instruments
Cello,Violoncelle,Violoncello,Violonchelo,Cello,Wiolonczela,Cello,instruments
Harp,Harpe,Arpa,Arpa,Harfe,Harfa,Harfa,instruments
Double bass,Contrebasse,Contrabbasso,Contrabajo,Kontrabass,Kontrabas,Kontrabas,instruments
Viola,Alto,Viola,Viola,Viola,Altówka,Viola,instruments
Mandolin,Mandoline,Mandolino,Mandolina,Mandoline,Mandolina,Mandolína,instruments
Ukulele,Ukulélé,Ukulele,Ukelele,Ukulele,Ukulele,Ukulele,instruments
Banjo,Banjo,Banjo,Banjo,Banjo,Banjo,Bendžo,instruments
Lute,Luth,Liuto,Laúd,Laute,Lutnia,Loutna,instruments
Computer,Ordinateur,Computer,Computadora,Computer,Komputer,Počítač,technology
Internet,Internet,Internet,Internet,Internet,Internet,Internet,technology
Software,Logiciel,Software,Software,Software,Oprogramowanie,Software,technology
Hardware,Matériel,Hardware,Hardware,Hardware,Sprzęt komputerowy,Železářské zboží,technology
Digital,Numérique,Digitale,Digital,Digitales,Cyfrowy,Digitální,technology
Analog: a,Analogique : un,Analogico: un,Analógico: a,Analog: ein,Analogowy: a,Analogové: a,technology
Processor,Processeur,Processore,Procesador,Prozessor,Edytor,Procesor,technology
Server,Serveur,Server,Servidor,Server,Serwer,Server,technology
URL,URL,Indirizzo URL,URL,URL,Adres URL,URL,technology
Operating System,Système opérateur,Sistema operativo,Sistema operativo,Betriebssystem,System operacyjny,Operační systém,technology
Peripheral,Périphérique,Periferica,Periférico,Peripheriegeräte,Obwodowy,Obvodový,technology
Smartphone,Smartphone,Smartphone,Teléfono inteligente,Smartphone,Smartfon,Smartphone,technology
Tablet,Comprimé,Tavoletta,Tableta,Tablette,Tabletka,Tableta,technology
Laptop,Ordinateur portable,Computer portatile,Computadora portátil,Laptop,Laptop,Přenosný počítač,technology
Desktop,Bureau,Scrivania,De oficina,Desktop,Pulpit,Desktop,technology
Computer,Ordinateur,Computer,Computadora,Computer,Komputer,Počítač,technology
Smartwatch,Montre intelligente,Orologio intelligente,Reloj inteligente,Smartwatch,Smartwatch,Chytré hodinky,technology
E-reader,Liseuse,E-lettore,Lector electrónico,Elektronischer Leser,Czytnik e-booków,Elektronická čtečka,technology
Game Console,Console de jeu,Console di gioco,Consola de juegos,Spielkonsole,Konsola do gier,Herní konzole,technology
Olive,Olive,Oliva,Aceituna,Olive,Oliwka,Olivový,colors
Coral,Corail,Corallo,Coral,Koralle,Koral,Korál,colors
Grey,Gris,Grigio,Gris,Grau,Szary,Šedá,colors
White,Blanc,Bianco,Blanco,Weiß,Biały,Bílý,colors
Red,Rouge,Rosso,Rojo,Rot,Czerwony,Červený,colors
Blue,Bleu,Blu,Azul,Blau,Niebieski,Modrý,colors
Black,Noir,Nero,Negro,Schwarz,Czarny,Černý,colors
Gold,Or,Oro,Oro,Gold,Złoto,Zlato,colors
Violet,Violet,Viola,Violeta,Violett,Fioletowy,Fialový,colors
Maroon,Bordeaux,Marrone,Granate,Kastanienbraun,Kasztanowaty,Maroon,colors
Khaki,Kaki,Cachi,Caqui,Khaki,Khaki,Khaki,colors
Brown,Brun,Marrone,Marrón,Braun,Brązowy,Hnědý,colors
Purple,Violet,Viola,Púrpura,Lila,Fioletowy,Fialová,colors
Orange,Orange,Arancia,Naranja,Orange,Pomarańczowy,Pomerančový,colors
Navy,Marine,Marina Militare,Marina de guerra,Marine,Marynarka wojenna,námořnictvo,colors
Ivory,Ivoire,Avorio,Marfil,Elfenbein,Kość słoniowa,Slonová kost,colors
Crimson,Cramoisi,Cremisi,Carmesí,Purpur,Karmazynowy,Karmínový,colors
Lavender,Lavande,Lavanda,Lavanda,Lavendel,Lawenda,Levandule,colors
Yellow,Jaune,Giallo,Amarillo,Gelb,Żółty,Žluť,colors
Mint,Menthe,Menta,Menta,Minze,Mennica,Máta,colors
Silver,Argent,Argento,Plata,Silber,Srebrny,Stříbro,colors
Beige,Beige,Beige,Beige,Beige,Beżowy,Béžový,colors
Pink,Rose,Rosa,Rosa,Rosa,Różowy,Růžový,colors
Green,Vert,Verde,Verde,Grün,Zielony,Zelený,colors
Turquoise,Turquoise,Turchese,Turquesa,Türkis,Turkus,Tyrkysový,colors
fish,poisson,pescare,pez,Fisch,ryba,ryba,animals
albatross,albatros,albatro,albatros,Albatros,albatros,albatros,animals
mole,taupe,neo,lunar,Mol,kret,krtek,animals
mouse,souris,topo,ratón,Maus,mysz,myš,animals
carnivores,carnivores,carnivori,carnívoros,Fleischfresser,mięsożercy,masožravci,animals
alligator,alligator,alligatore,caimán,Alligator,aligator,aligátor,animals
kangaroo,kangourou,canguro,canguro,Känguru,kangur,klokan,animals
tutaj,tout le monde,tuta,tutaj,tutaj,tutaj,tutaj,animals
bobcat,lynx,lince rossa,gato montés,Rotluchs,ryś amerykański,bobcat,animals
jellyfish,méduse,medusa,medusa,Qualle,meduza,medúza,animals
bumblebee,bourdon,calabrone,abejorro,Hummel,trzmiel,čmelák,animals
eagle,aigle,aquila,águila,Adler,orzeł,orel,animals
buffalo,buffle,bufalo,búfalo,Büffel,bawół,buvol,animals
hummingbird,colibri,colibrì,colibrí,Kolibri,koliber,kolibřík,animals
goat,chèvre,capra,cabra,Ziege,koza,koza,animals
camel,chameau,cammello,camello,Kamel,wielbłąd,velbloud,animals
rabbit,lapin,coniglio,conejo,Kaninchen,królik,králičí,animals
yak,yak,yak,yak,Yak,jak,jaka,animals
nightingale,rossignol,usignolo,ruiseñor,Nachtigall,słowik,slavík,animals
birds,oiseaux,uccelli,pájaros,Vögel,ptaki,ptactvo,animals
butterfly,papillon,farfalla,mariposa,Schmetterling,motyl,motýl,animals
caterpillar,chenille,bruco,oruga,Raupe,gąsienica,housenka,animals
fox,renard,volpe,zorro,Fuchs,lis,liška,animals
pig,cochon,maiale,cerdo,Schwein,świnia,prase,animals
antelope,antilope,antilope,antílope,Antilope,antylopa,antilopa,animals
penguin,manchot,pinguino,pingüino,Pinguin,pingwin,tučňák,animals
badger,blaireau,tasso,tejón,Dachs,borsuk,jezevec,animals
snail,escargot,lumaca,caracol,Schnecke,ślimak,šnek,animals
frog,grenouille,rana,rana,Frosch,żaba,žába,animals
centipede,mille-pattes,centopiedi,ciempiés,Tausendfüßler,skolopendra,stonožka,animals
fly,voler,volare,volar,fliegen,latać,létat,animals
lizard,lézard,lucertola,lagarto,Eidechse,jaszczurka,ještěrka,animals
koala,koala,koala,coala,Koala,koala,koala,animals
grasshopper,sauterelle,cavalletta,saltamontes,Heuschrecke,konik polny,saranče,animals
lynx,lynx,lince,lince,Luchs,ryś,rys,animals
kiwi,kiwi,kiwi,kiwi,Kiwi,kiwi,kiwi,animals
crocodile,crocodile,coccodrillo,cocodrilo,Krokodil,krokodyl,krokodýl,animals
goose,oie,oca,ganso,Gans,gęś,husa,animals
puma,puma,puma,puma,Puma,puma,puma,animals
sparrow,moineau,passero,gorrión,Spatz,wróbel,vrabec,animals
bison,bison,bisonte,bisonte,Bison,bizon,bizon,animals
bear,ours,orso,oso,tragen,niedźwiedź,medvěd,animals
bat,batte,pipistrello,murciélago,Schläger,nietoperz,netopýr,animals
tortoise,tortue,tartaruga,tortuga,Schildkröte,żółw,želva,animals
cow,vache,mucca,vaca,Kuh,krowa,kráva,animals
pelican,pélican,pellicano,pelícano,Pelikan,pelikan,pelikán,animals
amphibians,amphibiens,anfibi,anfibios,Amphibien,płazy,obojživelníci,animals
falcon,faucon,falco,halcón,Falke,sokół,sokol,animals
chicken,poulet,pollo,pollo,Huhn,kurczak,kuře,animals
parrot,perroquet,pappagallo,loro,Papagei,papuga,papoušek,animals
owl,hibou,gufo,búho,Eule,sowa,sova,animals
turkey,dinde,tacchino,pavo,Truthahn,indyk,Turecko,animals
ostrich,autruche,struzzo,avestruz,Strauß,struś,pštros,animals
seal,joint,foca,sello,Siegel,foka,pečeť,animals
bee,abeille,ape,abeja,Biene,pszczoła,včela,animals
wolf,loup,lupo,lobo,Wolf,wilk,vlk,animals
horse,cheval,cavallo,caballo,Pferd,koń,kůň,animals
rattlesnake,crotale,serpente a sonagli,serpiente de cascabel,Klapperschlange,grzechotnik,chřestýš,animals
cockroach,cafard,scarafaggio,cucaracha,Kakerlake,karaluch,šváb,animals
skunk,mouffette,puzzola,mofeta,Skunk,skunks,skunk,animals
giraffe,girafe,giraffa,jirafa,Giraffe,żyrafa,žirafa,animals
panther,panthère,pantera,pantera,Panther,pantera,panter,animals
chameleon,caméléon,camaleonte,camaleón,Chamäleon,kameleon,chameleón,animals
sheep,mouton,pecora,oveja,Schaf,owce,ovce,animals
peacock,paon,pavone,pavo real,Pfau,paw,páv,animals
reindeer,renne,renna,reno,Ren,renifer,sob,animals
swan,cygne,cigno,cisne,Schwan,łabędź,labuť,animals
insects,insectes,insetti,Insectos,Insekten,owady,hmyz,animals
omnivores,omnivores,onnivori,omnívoros,Allesfresser,wszystkożercy,všežravci,animals
hamster,hamster,criceto,hámster,Hamster,chomik,křeček,animals
ant,fourmi,formica,hormiga,Ameise,mrówka,mravenec,animals
mammals,mammifères,mammiferi,mamíferos,Säugetiere,ssaki,savců,animals
beetle,scarabée,scarafaggio,escarabajo,Käfer,chrząszcz,brouk,animals
jaguar,jaguar,giaguaro,jaguar,Jaguar,jaguar,jaguár,animals
monkey,singe,scimmia,mono,Affe,małpa,opice,animals
cougar,puma,puma,puma,Puma,puma,puma,animals
lion,lion,leone,león,Löwe,lew,lev,animals
zebra,zèbre,zebra,cebra,Zebra,zebra,zebra,animals
llama,lama,lama,llama,Lama,lama,lama,animals
gorilla,gorille,gorilla,gorila,Gorilla,goryl,gorila,animals
meerkat,suricate,suricato,suricata,Erdmännchen,surykatka,surikata,animals
snake,serpent,serpente,serpiente,Schlange,wąż,had,animals
coyote,coyote,coyote,coyote,Kojote,kojot,kojot,animals
insect,insecte,insetto,insecto,Insekt,owad,hmyz,animals
mule,mule,mulo,mula,Maultier,muł,mezek,animals
catfish,poisson-chat,pesce gatto,bagre,Wels,sum,sumec,animals
walrus,morse,tricheco,morsa,Walross,mors,mrož,animals
raccoon,raton laveur,procione,mapache,Waschbär,szop,mýval,animals
tiger,tigre,tigre,tigre,Tiger,tygrys,tygr,animals
moose,élan,alce,alce,Elch,łoś,los,animals
hyena,hyène,iena,hiena,Hyäne,hiena,hyena,animals
beaver,castor,castoro,castor,Biber,bóbr,bobr,animals
woodpecker,pic,picchio,pájaro carpintero,Specht,dzięcioł,datel,animals
squirrel,écureuil,scoiattolo,ardilla,Eichhörnchen,wiewiórka,veverka,animals
reptiles,reptiles,rettili,reptiles,Reptilien,gadzina,plazi,animals
leopard,léopard,leopardo,leopardo,Leopard,lampart,leopard,animals
rat,rat,ratto,rata,Ratte,szczur,krysa,animals
elephant,éléphant,elefante,elefante,Elefant,słoń,slon,animals
cat,chat,gatto,gato,Katze,kot,kočka,animals
bird,oiseau,uccello,pájaro,Vogel,ptak,pták,animals
prawn,crevette,gambero,gamba,Garnele,krewetka,kreveta,animals
herbivores,herbivores,erbivori,herbívoros,Pflanzenfresser,roślinożercy,býložravci,animals
cheetah,guépard,ghepardo,guepardo,Gepard,gepard,gepard,animals
opossum,opossum,opossum,zarigüeya,Beutelratte,opos,vačice,animals
baboon,babouin,babbuino,babuino,Pavian,pawian,pavián,animals
rhubarb,rhubarbe,rabarbaro,ruibarbo,Rhabarber,rabarbar,rebarbora,vegetables
kohlrabi,chou-rave,cavolo rapa,colinabo,Kohlrabi,kalarepa,kedluben,vegetables
onion,oignon,cipolla,cebolla,Zwiebel,cebula,cibule,vegetables
garlic,ail,aglio,ajo,Knoblauch,czosnek,česnek,vegetables
corn,maïs,mais,maíz,Mais,kukurydza,kukuřice,vegetables
kale,chou frisé,cavolo,col rizada,Grünkohl,kapusta włoska,kapusta,vegetables
artichoke,artichaut,carciofo,alcachofa,Artischocke,karczoch,artyčok,vegetables
gherkin,cornichon,cetriolino,pepinillo,Gurke,korniszon,okurka,vegetables
soy,soja,soia,soja,Soja,soja,sója,vegetables
lentils,lentilles,lenticchie,lentejas,Linsen,soczewica,čočka,vegetables
horseradish,raifort,rafano,rábano picante,Meerrettich,chrzan,křen,vegetables
lettuce,laitue,lattuga,lechuga,Kopfsalat,sałata,hlávkový salát,vegetables
cabbage,chou,cavolo,repollo,Kohl,kapusta,zelí,vegetables
olives,olives,olive,aceitunas,Oliven,oliwki,olivy,vegetables
parsnip,panais,pastinaca,chirivía,Pastinake,pasternak,pastinák,vegetables
tomato,tomate,pomodoro,tomate,Tomate,pomidor,rajče,vegetables
dill,aneth,aneto,eneldo,Dill,koperek,kopr,vegetables
chives,ciboulette,erba cipollina,cebollinos,Schnittlauch,szczypiorek,pažitka,vegetables
chili,piment,peperoncino,chile,Chili,czerwony pieprz,chilli,vegetables
chicory,chicorée,cicoria,achicoria,Chicoree,cykoria,cikorka,vegetables
fennel,fenouil,finocchio,hinojo,Fenchel,koper włoski,fenykl,vegetables
marrow,moelle,midollo,médula,Mark,szpik kostny,dřeň,vegetables
peas,petits pois,piselli,guisantes,Erbsen,groszek,hrášek,vegetables
broccoli,brocoli,broccoli,brócoli,Brokkoli,brokuł,brokolice,vegetables
radish,radis,ravanello,rábano,Rettich,rzodkiewka,ředkev,vegetables
cress,cresson,crescione,berro,Kresse,rzeżucha,řeřicha,vegetables
pumpkin,citrouille,zucca,calabaza,Kürbis,dynia,dýně,vegetables
squash,squash,schiacciare,calabaza,quetschen,zdusić,squash,vegetables
bean,haricot,fagiolo,frijol,Bohne,fasola,fazole,vegetables
carrot,carotte,carota,zanahoria,Karotte,marchew,mrkev,vegetables
potato,pomme de terre,patata,papa,Kartoffel,ziemniak,brambor,vegetables
Vegetables,Légumes,Verdure,Verduras,Gemüse,Warzywa,Zelenina,vegetables
parsley,persil,prezzemolo,perejil,Petersilie,pietruszka,petržel,vegetables
mushrooms,champignons,funghi,hongos,Pilze,grzyby,houby,vegetables
asparagus,asperge,asparago,espárragos,Spargel,asparagus,chřest,vegetables
turnip,navet,rapa,nabo,Rübe,rzepa,tuřín,vegetables
celery,céleri,sedano,apio,Sellerie,seler,celer,vegetables
leek,poireau,Porro,Puerro,Lauch,por,pórek,vegetables
potatoes,pommes de terre,patate,papas,Kartoffeln,ziemniaki,brambory,vegetables
cauliflower,chou-fleur,cavolfiore,coliflor,Blumenkohl,kalafior,květák,vegetables
peanuts,cacahuètes,arachidi,miseria,Erdnüsse,orzeszki ziemne,arašídy,vegetables
spinach,épinard,spinaci,espinaca,Spinat,szpinak,špenát,vegetables
cucumber,concombre,cetriolo,pepino,Gurke,ogórek,okurka,vegetables
raspberry,framboise,lampone,frambuesa,Himbeere,malina,malina,fruits
mangosteen,mangoustan,mangostano,mangostán,Mangostan,mangostan,mangostanu,fruits
blackberry,mûre,mora,zarzamora,Brombeere,jeżyna,ostružina,fruits
hazelnut,noisette,nocciola,avellana,Haselnuss,orzech laskowy,lískový ořech,fruits
marula,marula,Marula,marula,marula,marula,marula,fruits
persimmon,kaki,cachi,caqui,Persimmon,kaki,tomel,fruits
banana,banane,banana,banana,Banane,banan,banán,fruits
durian,durian,durian,durian,Durian,durian,durian,fruits
grenadia,Grenade,granada,granadia,grenadi,Grenadia,grenadie,fruits
avocado,avocat,avocado,palta,Avocado,awokado,avokádo,fruits
orange,orange,arancia,naranja,orange,pomarańczowy,pomerančový,fruits
kiwano,Kiwano,kiwanano,kiwano,kiwano,kiwano,kiwano,fruits
starfruit,carambole,carambola,carambola,Sternfrucht,karambol,hvězdice,fruits
papaya,papaye,papaia,papaya,Papaya,papaja,papája,fruits
blueberry,myrtille,mirtillo,arándano,Blaubeere,jagoda,borůvka,fruits
tamarillo,tamarillo,tamarillo,tomate de árbol,Tamarillo-Wurzel,tamarillo,tamarillo,fruits
apple,pomme,mela,manzana,Apfel,jabłko,jablko,fruits
blackcurrant,cassis,ribes nero,grosella negra,schwarze Johannisbeere,czarna porzeczka,černý rybíz,fruits
grapes,raisins,uva,uvas,Trauben,winogrona,hrozny,fruits
pineapple,ananas,ananas,piña,Ananas,ananas,ananas,fruits
